"","Player","Ht","Pos","MIN","FGM","FGA","BLK"
"15","Bezhanishvili, Giorgi",81,"F",866,169,312,26
"3","Cayce, Drew",73,"G",17,1,3,0
"12","De La Rosa, Adonis",84,"C",225,19,54,1
"11","Dosunmu, Ayo",77,"G",994,163,375,8
"10","Feliz, Andres",74,"G",737,97,214,1
"1","Frazier, Trent",73,"G",980,148,360,1
"0","Griffin, Alan",77,"G",243,30,78,7
"4","Griffith, Zach",78,"F",15,0,3,0
"5","Jones, Tevian",79,"G",221,31,76,1
"23","Jordan, Aaron",77,"G",891,81,221,13
"34","Kane, Samba",84,"C",86,13,22,10
"2","Nichols, Kipper",78,"F",597,76,178,10
"35","Oladimeji, Samson",76,"G",25,1,4,0
"32","Underwood, Tyler",74,"G",68,1,8,0
"20","Williams, Da'Monte",75,"G",712,32,93,8
